MANDT,AGR_NAME,LANGU,PROFILE,PTEXT
001,SAP_ESH_DATA_PUSH,E,T_BE420334,Profile for role SAP_ESH_DATA_PUSH
001,SAP_ESH_DELEGATED_SEARCH,E,T_BE420373,Profile for role SAP_ESH_DELEGATED_SEARCH
001,SAP_ESH_DISPLAY_QUERY_LOG,E,T_BE420364,Profile for role SAP_ESH_DISPLAY_QUERY_LOG
001,SAP_ESH_REORG_QUERY_LOG,E,T_BE420363,Profile for role SAP_ESH_REORG_QUERY_LOG
001,SAP_ESH_SEARCH_CATEG,E,T_BE420370,Profile for role SAP_ESH_SEARCH_CATEG
001,SAP_ESH_SEARCH_USER,E,T_LA930162,Profile for role SAP_ESH_SEARCH_USER
001,SAP_ESH_SUPPORT,E,T_LA930185,Profile for role SAP_ESH_SUPPORT
001,SAP_ESH_TAU,E,T_BE420371,Profile for role SAP_ESH_TAU
001,SAP_ESH_TRANSPORT,E,T_BE420343,Profile for role SAP_ESH_TRANSPORT
001,SAP_FA_ECATT_CONVERTER,E,T-Q1940001,Profile for role SAP_FA_ECATT_CONVERTER
001,SAP_FA_RELEASE_ANZEIGER,E,T-I2380003,Profile for role SAP_FA_RELEASE_ANZEIGER
001,SAP_FA_RELEASE_TESTER,E,T-I2380002,Profile for role SAP_FA_RELEASE_TESTER
001,SAP_FA_TESTER,E,T-Q1340002,Profile for role SAP_FA_TESTER
001,SAP_FPM_ECATT,E,T_Y3670158,Profile for role SAP_FPM_ECATT
001,SAP_FRAMEWORK_REGISTRY,D,T_BE110941,Profil zur Rolle SAP_FRAMEWORK_REGISTRY
001,SAP_GKFM_ADMINISTRATOR,D,T_Y3670162,Profil zur Rolle SAP_GKFM_ADMINISTRATOR
001,SAP_GKFM_USER,D,T_Y3670163,Profil zur Rolle SAP_GKFM_USER
001,SAP_HR_PA_XF_EXPERT,D,T_PH500038,Profil zur Rolle SAP_HR_PA_XF_EXPERT
001,SAP_IDOC_ADMINISTRATION,D,T_56184353,Profil zur Aktivit�tsgruppe SAP_IDOC_ADMINISTRATION
001,SAP_IDOC_EVERYONE,D,T_56184354,Profil zur Aktivit�tsgruppe SAP_IDOC_EVERYONE
001,SAP_IDOC_IMPLEMENTATION,D,T_56184351,Profil zur Aktivit�tsgruppe SAP_IDOC_IMPLEMENTATION
001,SAP_ILM_WP_ADMIN,E,T_AA360621,Profile for role SAP_ILM_WP_ADMIN
001,SAP_ILM_WP_REPORTING,D,T_S3420022,Profil zur Rolle SAP_ILM_WP_REPORTING
001,SAP_INTNW_BMT_WFM_ADMIN,E,T_Y3670613,Profile for role SAP_INTNW_BMT_WFM_ADMIN
001,SAP_INTNW_BMT_WFM_CONTROLLER,E,T_Y3670614,Profile for role SAP_INTNW_BMT_WFM_CONTROLLER
001,SAP_INTNW_BMT_WFM_DEVELOPER,E,T_Y3670615,Profile for role SAP_INTNW_BMT_WFM_DEVELOPER
001,SAP_INTNW_BMT_WFM_GP_ADMIN,E,T_Y3670735,Profile for role SAP_INTNW_BMT_WFM_GP_ADMIN
001,SAP_INTNW_BMT_WFM_GP_SERV_USER,E,T_Y3670736,Profile for role SAP_INTNW_BMT_WFM_GP_SERV_USER
001,SAP_INTNW_BMT_WFM_NWBC_END_USE,E,T_Y3670362,Profile for role SAP_INTNW_BMT_WFM_NWBC_END_USE
001,SAP_INTNW_BMT_WFM_PROCESS,E,T_Y3670737,Profile for role SAP_INTNW_BMT_WFM_PROCESS
001,SAP_INTNW_ILM_GCDE,E,T_S3420071,Profile for role SAP_INTNW_ILM_GCDE
001,SAP_IQM_IC_ADMIN,E,T_BE420081,Profile for role SAP_IQM_IC_ADMIN
001,SAP_IS_MONITORING,E,S_IS_MONIT,Profile for role SAP_IS_MONITORING
001,SAP_IV_DC_CONFIG,E,T_C2340494,Profile for role SAP_IV_DC_CONFIG
001,SAP_KM_KW_ADMINISTRATOR,D,T_BE420031,Profil zur Rolle SAP_KM_KW_ADMINISTRATOR
001,SAP_KM_KW_ALL_AREAS_DISPLAY,D,T_BE420034,Profil zur Rolle SAP_KM_KW_ALL_AREAS_DISPLAY
001,SAP_KM_KW_ALL_AREAS_EDIT,D,T_BE420035,Profil zur Rolle SAP_KM_KW_ALL_AREAS_EDIT
001,SAP_KM_KW_ALL_AREAS_TRANSLATE,D,T_BE420036,Profil zur Rolle SAP_KM_KW_ALL_AREAS_TRANSLATE
001,SAP_KM_KW_CREATE_OFFLINE,D,T_BE420037,Profil zur Rolle SAP_KM_KW_CREATE_OFFLINE
001,SAP_KM_KW_IWBHELP_EDIT,D,T_BE420039,Profil zur Rolle SAP_KM_KW_IWBHELP_EDIT
001,SAP_KM_KW_IWBMISC_EDIT,D,T_BE420040,Profil zur Rolle SAP_KM_KW_IWBMISC_EDIT
001,SAP_KM_KW_IWBTRAIN_EDIT,D,T_BE420041,Profil zur Rolle SAP_KM_KW_IWBTRAIN_EDIT
001,SAP_KM_KW_KWNET_EDIT,D,T_BE420042,Profil zur Rolle SAP_KM_KW_KWNET_EDIT
001,SAP_KM_KW_PAW_ADMIN_TEST,E,T_BE420060,Profile for role SAP_KM_KW_PAW_ADMIN_TEST
001,SAP_KM_KW_QM_ADMINISTRATOR,D,T_BE420049,Profil zur Rolle SAP_KM_KW_QM_ADMINISTRATOR
001,SAP_KM_KW_QM_DISPLAY_EXTERN,D,T_BE420051,Profil zur Rolle SAP_KM_KW_QM_DISPLAY_EXTERN
001,SAP_KM_KW_QM_DISPLAY_INTERN,D,T_BE420052,Profil zur Rolle SAP_KM_KW_QM_DISPLAY_INTERN
001,SAP_KM_KW_QUALITY_CONTROL,D,T_BE060099,Profil zur Rolle SAP_KM_KW_QUALITY_CONTROL
001,SAP_KM_KW_REMOTE_SUPPORT,D,T_BE060108,SAP_KM_KW_REMOTE_SUPPORT (intern)
001,SAP_KM_KW_RFC_CPIC_USER,D,T_BE420045,Profil zur Rolle SAP_KM_KW_RFC_CPIC_USER
001,SAP_KM_KW_XML_TRAIN_EDIT,D,T_BE420058,Profil zur Rolle SAP_KM_KW_XML_TRAIN_EDIT
001,SAP_MI_ADMIN,E,T_YA670102,Profile for role SAP_MI_ADMIN
001,SAP_MI_SERVICE,E,T_YA670101,Profile for role SAP_MI_SERVICE
001,SAP_PAGEBUILDER_ADMIN,D,T_Y2190096,Profil zur Rolle SAP_PAGEBUILDER_ADMIN
001,SAP_PAGEBUILDER_DISPLAY,D,T_Y2190099,Profil zur Rolle SAP_PAGEBUILDER_DISPLAY
001,SAP_PAGEBUILDER_ECATT,D,T_Y2190136,Profil zur Rolle SAP_PAGEBUILDER_ECATT
001,SAP_PAGEBUILDER_ENDUSER,D,T_Y2190097,Profil zur Rolle SAP_PAGEBUILDER_ENDUSER
001,SAP_PAGEBUILDER_ENDUSER_EXAMPL,D,T_Y2190098,Profil zur Rolle SAP_PAGEBUILDER_ENDUSER_EXAMPL
001,SAP_PAGEBUILDER_REMOTE,D,T_Y3670203,Profil zur Rolle SAP_PAGEBUILDER_REMOTE
001,SAP_PAGEBUILDER_RFC,D,T_Y3670011,Profil zur Rolle SAP_PAGEBUILDER_RFC
001,SAP_PI_CCMS_SETUP,D,T_ZC020001,Profil zur Rolle SAP_PI_CCMS_SETUP
001,SAP_PLM_AUDITOR,D,T_LB090007,Profil zur Rolle SAP_PLM_AUDITOR
001,SAP_PPF_ADMINISTRATOR,D,T_BE420030,Profil zur Rolle SAP_PPF_ADMINISTRATOR
001,SAP_PPF_CONFIGURATOR,D,T_BE420029,Profil zur Rolle SAP_PPF_CONFIGURATOR
001,SAP_PPF_CUSTOMIZER,D,T_BE420028,Profil zur Rolle SAP_PPF_CUSTOMIZER
001,SAP_PPO_ADMIN,D,T_S3420034,Profil zur Rolle SAP_PPO_ADMIN
001,SAP_PPO_PROCESSOR,D,T_S3420035,Profil zur Rolle SAP_PPO_PROCESSOR
001,SAP_PS_RM_HEAD,D,T_KM170006,Profil zur Rolle SAP_PS_RM_HEAD
001,SAP_PS_RM_PRO_ADMIN,E,T_LB090002,Profile for role SAP_PS_RM_PRO_ADMIN
001,SAP_PS_RM_PRO_RECMANAGER,E,T_LB090003,Profile for role SAP_PS_RM_PRO_RECMANAGER
001,SAP_PS_RM_PRO_REVIEWER,E,T_LB090004,Profile for role SAP_PS_RM_PRO_REVIEWER
001,SAP_PS_RM_PRO_USER,E,T_LB090005,Profile for role SAP_PS_RM_PRO_USER
001,SAP_PS_RM_USER,D,T_KM170005,Profil zur Rolle SAP_PS_RM_USER
001,SAP_QAP_BC_SHOW,D,T_KA970001,Profil zur Rolle SAP_QAP_BC_SHOW
001,SAP_RFC_CORR_DSP,E,T_Y3670247,Profile for role SAP_RFC_CORR_DSP
