MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,SAP_CGV_MIC_CUSTOMIZING,1,T_S3210046,,X,A
210,SAP_CGV_MIC_DISPLAY,1,T_X4830006,,X,A
210,SAP_CIN,1,T_CIN00001,,X,A
210,SAP_CIN_BONDING_CLERK,1,T_A0320116,,X,A
210,SAP_CIN_SD_MANAGER,1,T_K4540002,,X,A
210,SAP_CIN_TDS_MANAGER,1,T_A0320115,,X,A
210,SAP_CIN_TDS_SUPERVISOR,1,T_A0320104,,X,A
210,SAP_CML_CREDIT_ANALYST,1,T_KM070007,,X,A
210,SAP_CML_DEPARTM_MANAGER,1,T_KM070008,,X,A
210,SAP_CML_LOANS_OFFICER,1,T_KM070009,,X,A
210,SAP_CML_ROLLOVER_OFFICER,1,T_KM070010,,X,A
210,SAP_CML_STAFF_ACCOUNTANT,1,T_KM070011,,X,A
210,SAP_CM_ACCOUNT_DATA_UPDATE,1,T_K4610028,,X,A
210,SAP_CM_ADMIN_ACAD_STRUCTURE,1,T_K4610014,,X,
210,SAP_CM_ADMOFF_STUDYDATA,1,T_AI310039,,X,A
210,SAP_CM_ADMREGDATA_DISP,1,T_AI310038,,X,A
210,SAP_CM_ALL,1,T_PI770024,,X,A
210,SAP_CM_ALL,2,T_PI7700241,,X,A
210,SAP_CM_APLIC_ADM_ACT_US,1,T_PI770025,,X,A
210,SAP_CM_ASMCO_ADDACT,1,T_AI310030,,X,A
210,SAP_CM_ASMDATA_DISP,1,T_AI310035,,X,A
210,SAP_CM_ASMOFF_ACT,1,T_AI310031,,X,A
210,SAP_CM_MODULEBOOK,1,T_K4610015,,X,
210,SAP_CM_REGIST,1,T_K4610016,,X,
210,SAP_CM_STMASTERDATA_DISP,1,T_AI310037,,X,A
210,SAP_CM_STMASTERDATA_MAINT,1,T_AI310036,,X,A
210,SAP_CM_STRCO_ADDACT,1,T_AI310034,,X,A
210,SAP_CM_STROFF_ACT,1,T_AI310033,,X,A
210,SAP_CM_STUDENTMASTER,1,T_K4610017,,X,
210,SAP_CO_DAILY,1,T_AR700153,,X,
210,SAP_CO_DAILY_CATS,1,T_AR700152,,X,
210,SAP_CO_DOCUMENT_LIST,1,T_P0920650,,X,
210,SAP_CO_EASY_COST_PLANNING,1,T_PC220085,,X,
210,SAP_CO_ENTERPRISE_ORGANISATION,1,T_AR700156,,X,
210,SAP_CO_MODEL,1,T_AR700164,,X,
210,SAP_CO_OBJECT_STAT_KEYFIGURE,1,T_AR700157,,X,
210,SAP_CO_OM_DAILY_ABM,1,T_AR700176,,X,
210,SAP_CO_OM_ISR_PROCESSING,1,T_P0920988,,X,
210,SAP_CO_OM_JOB_INTORDER_BUDGET,1,T_AR700169,,X,
210,SAP_CO_OM_JOB_INTORDER_DISPLAY,1,T_AR700171,,X,
210,SAP_CO_OM_JOB_INTORDER_INTERES,1,T_AR700170,,X,
210,SAP_CO_OM_JOB_INTORDER_MAINT,1,T_AR700167,,X,
210,SAP_CO_OM_JOB_INTORDER_PLAN,1,T_AR700168,,X,
210,SAP_CO_OM_JOB_INTORDER_YEAREND,1,T_P0920528,,X,
210,SAP_CO_OM_MANAGER_GENERIC,1,T_P0920502,,X,
210,SAP_CO_OM_MODEL_ABM,1,T_AR700166,,X,
210,SAP_CO_OM_MODEL_OM,1,T_AR700181,,X,
210,SAP_CO_OM_OBJECT_ABM,1,T_AR700162,,X,
210,SAP_CO_OM_OBJECT_DISPLAY,1,T_AR700163,,X,
210,SAP_CO_OM_OBJECT_OM_COSTCENTER,1,T_AR700161,,X,
210,SAP_CO_OM_OBJECT_OM_COSTEL_PRI,1,T_AR700159,,X,
210,SAP_CO_OM_OBJECT_OM_COSTEL_SEC,1,T_AR700160,,X,
210,SAP_CO_OM_PEREND_ABM_COLL,1,T_AR700178,,X,
210,SAP_CO_OM_PEREND_INTORDER_COLL,1,T_AR700180,,X,
210,SAP_CO_OM_PEREND_INTORDER_IND,1,T_AR700179,,X,
210,SAP_CO_OM_PEREND_OM_COLL,1,T_AR700177,,X,
210,SAP_CO_OM_PLAN_ABM,1,T_AR700173,,X,
210,SAP_CO_OM_PLAN_INTORDER,1,T_AR700175,,X,
210,SAP_CO_OM_PLAN_OM,1,T_AR700172,,X,
210,SAP_CO_OM_PLAN_OM_BUDGET,1,T_AR700174,,X,
210,SAP_CO_OM_REPORT_COSTCTR_ABM_C,1,T_P0920616,,X,
210,SAP_CO_OM_REPORT_COSTCTR_ABM_L,1,T_P0920615,,X,
210,SAP_CO_OM_REPORT_COSTCTR_OM_C,1,T_P0920613,,X,
210,SAP_CO_OM_REPORT_COSTCTR_OM_L,1,T_P0920614,,X,
210,SAP_CO_OM_REPORT_COST_ELEMENT,1,T_P0920624,,X,
210,SAP_CO_OM_REPORT_INTORDER_C,1,T_P0920622,,X,
210,SAP_CO_OM_REPORT_INTORDER_L,1,T_P0920621,,X,
210,SAP_CO_OM_REPORT_PROCESS_C,1,T_P0920617,,X,
210,SAP_CO_OM_REPORT_PROCESS_L,1,T_P0920618,,X,
210,SAP_CO_OM_REPORT_TOOLS,1,T_AR700183,,X,
210,SAP_CO_PA_ADJUSTMENTS,1,T_P0920805,,X,
210,SAP_CO_PA_BASICDATA_CHARACTER,1,T_P0920765,,X,
210,SAP_CO_PA_BASICDATA_DISPLAY,1,T_P0920764,,X,
210,SAP_CO_PA_BASICDATA_VALUATION,1,T_P0920768,,X,
210,SAP_CO_PA_PEREND,1,T_P0920896,,X,
210,SAP_CO_PA_PLANNING_AIDS,1,T_P0920771,,X,
210,SAP_CO_PA_PLANNING_EXEC_PROF,1,T_P0920898,,X,
210,SAP_CO_PA_PLANNING_EXEC_WEB,1,T_P0920900,,X,
210,SAP_CO_PA_PLANNING_INTEGRATION,1,T_P0920899,,X,
210,SAP_CO_PA_PLANNING_SETUP,1,T_P0920772,,X,
210,SAP_CO_PA_REPORT_DEMO,1,T_P0920810,,X,
210,SAP_CO_PA_REPORT_DESIGN_L_ITEM,1,T_P0920798,,X,
210,SAP_CO_PA_REPORT_DESIGN_STD,1,T_P0920901,,X,
210,SAP_CO_PA_REPORT_EXECUTE,1,T_P0920778,,X,
210,SAP_CO_PA_SET_OPERATINGCONCERN,1,T_P0920984,,X,
210,SAP_CO_PA_VALUE_FLOW_ANALYSIS,1,T_P0920767,,X,
210,SAP_CO_PC_ACT_MATERIAL_DISPLAY,1,T_P0920023,,X,
210,SAP_CO_PC_ACT_ORG_MEASURES_SL,1,T_P0920026,,X,
210,SAP_CO_PC_DAILY_MAT_DEBIT_CRED,1,T_P0920034,,X,
210,SAP_CO_PC_DAILY_MAT_PRICEMAINT,1,T_P0920035,,X,
210,SAP_CO_PC_JOB_MANUFORDER,1,T_AR700188,,X,
210,SAP_CO_PC_JOB_MANUFORDER_CO,1,T_PC220097,,X,
210,SAP_CO_PC_JOB_SALESORDER,1,T_AR700189,,X,
210,SAP_CO_PC_MODEL,1,T_AR700187,,X,
210,SAP_CO_PC_MODEL_COSTING,1,T_P0920045,,X,
210,SAP_CO_PC_MODEL_MATERIAL_CONTR,1,T_P0920031,,X,
210,SAP_CO_PC_OBJECT_COCOLLECTOR,1,T_AR700186,,X,
210,SAP_CO_PC_OBJECT_COOBJHIER,1,T_AR700185,,X,
210,SAP_CO_PC_OBJECT_COOBJID,1,T_AR700184,,X,
210,SAP_CO_PC_PEREND_ACT_MLEVEL,1,T_P0920027,,X,
210,SAP_CO_PC_PEREND_ACT_MLEVEL_DP,1,T_P0920756,,X,
210,SAP_CO_PC_PEREND_ACT_SLEVEL_PC,1,T_P0920025,,X,
210,SAP_CO_PC_PEREND_ACT_SLEVEL_PD,1,T_P0920024,,X,
210,SAP_CO_PC_PEREND_COCOLLECT_COL,1,T_AR700196,,X,
210,SAP_CO_PC_PEREND_COCOLLECT_IND,1,T_AR700195,,X,
210,SAP_CO_PC_PEREND_COCOLLECT_WLM,1,T_AR700197,,X,
210,SAP_CO_PC_PEREND_COOBJHIER_COL,1,T_AR700203,,X,
210,SAP_CO_PC_PEREND_COOBJHIER_IND,1,T_AR700202,,X,
210,SAP_CO_PC_PEREND_COOBJHIER_WLM,1,T_AR700201,,X,
210,SAP_CO_PC_PEREND_COOBJID_COLL,1,T_AR700194,,X,
210,SAP_CO_PC_PEREND_COOBJID_IND,1,T_AR700193,,X,
210,SAP_CO_PC_PEREND_MANUFORD_COL,1,T_AR700204,,X,
210,SAP_CO_PC_PEREND_MANUFORD_IND,1,T_AR700205,,X,
210,SAP_CO_PC_PEREND_MANUFORD_WLM,1,T_AR700198,,X,
210,SAP_CO_PC_PEREND_SALESORD,1,T_AR700206,,X,
